Date,Open,High,Low,Close,Adj Close,Volume
2015-05-11,127.39,127.56,125.63,126.32,117.81,42035800
2015-05-12,125.6,126.88,124.82,125.87,117.39,48160000
2015-05-13,126.15,127.19,125.87,126.01,117.52,34694200
2015-05-14,127.41,128.95,127.16,128.95,120.26,45203500
2015-05-15,129.07,129.49,128.21,128.77,120.09,38208000
2015-05-18,128.38,130.72,128.36,130.19,121.42,50882900
2015-05-19,130.69,130.88,129.64,130.07,121.3,44633200
2015-05-20,130.0,130.98,129.34,130.06,121.29,36454900
2015-05-21,130.07,131.63,129.83,131.39,122.54,39730400
2015-05-22,131.6,132.97,131.4,132.54,123.61,45596000
2015-05-26,132.6,132.91,129.12,129.62,120.88,70697600
2015-05-27,130.34,132.26,130.05,132.04,123.14,45833200
2015-05-28,131.86,131.95,131.1,131.78,122.9,30733300
2015-05-29,131.23,131.45,129.9,130.28,121.5,50884500
2015-06-01,130.28,131.39,130.05,130.54,121.74,32112800
2015-06-02,129.86,130.66,129.32,129.96,121.2,33667600
2015-06-03,130.66,130.94,129.9,130.12,121.35,30889400
2015-06-04,129.58,130.58,128.91,129.36,120.64,38450100
2015-06-05,129.5,129.69,128.36,128.65,119.98,35626800
2015-06-08,128.9,129.21,126.83,127.8,119.19,52674800
2015-06-09,126.7,128.08,125.62,127.42,118.83,56075400
2015-06-10,127.92,129.34,127.85,128.88,120.19,39087300
2015-06-11,129.18,130.18,128.48,128.59,119.92,35390900
2015-06-12,128.19,128.33,127.11,127.17,118.6,36886200
2015-06-15,126.1,127.24,125.71,126.92,118.37,43988900
2015-06-16,127.03,127.85,126.37,127.6,119.0,31494100
2015-06-17,127.72,127.88,126.74,127.3,118.72,32918100
2015-06-18,127.23,128.31,127.22,127.88,119.26,35407200
2015-06-19,127.71,127.82,126.4,126.6,118.07,54716900
2015-06-22,127.49,128.06,127.08,127.61,119.01,34039300
2015-06-23,127.48,127.61,126.88,127.03,118.47,30268900
2015-06-24,127.21,129.8,127.12,128.11,119.48,55280900
2015-06-25,128.86,129.2,127.5,127.5,118.91,31938100
2015-06-26,127.67,127.99,126.51,126.75,118.21,44066800
2015-06-29,125.46,126.47,124.48,124.53,116.14,49161400
2015-06-30,125.57,126.12,124.86,125.43,116.98,44370700
